a,b,c,d,f,g,h,I,etiqueta
5.1,0.222222,3.5,0.625000,1.4,0.067797,0.2,0.041667,1
4.9,0.166667,3.0,0.416667,1.4,0.067797,0.2,0.041667,1
4.7,0.111111,3.2,0.500000,1.3,0.050847,0.2,0.041667,1
4.6,0.083333,3.1,0.458333,1.5,0.084746,0.2,0.041667,1
5.0,0.194444,3.6,0.666667,1.4,0.067797,0.2,0.041667,1
5.4,0.305556,3.9,0.791667,1.7,0.118644,0.4,0.125000,1
4.6,0.083333,3.4,0.583333,1.4,0.067797,0.3,0.083333,1
5.0,0.194444,3.4,0.583333,1.5,0.084746,0.2,0.041667,1
4.4,0.027778,2.9,0.375000,1.4,0.067797,0.2,0.041667,1
4.9,0.166667,3.1,0.458333,1.5,0.084746,0.1,0.010000,1
5.4,0.305556,3.7,0.708333,1.5,0.084746,0.2,0.041667,1
4.8,0.138889,3.4,0.583333,1.6,0.101695,0.2,0.041667,1
4.8,0.138889,3.0,0.416667,1.4,0.067797,0.1,0.010000,1
4.3,0.010000,3.0,0.416667,1.1,0.016949,0.1,0.010000,1
5.8,0.416667,4.0,0.833333,1.2,0.033898,0.2,0.041667,1
5.7,0.388889,4.4,0.999900,1.5,0.084746,0.4,0.125000,1
5.4,0.305556,3.9,0.791667,1.3,0.050847,0.4,0.125000,1
5.1,0.222222,3.5,0.625000,1.4,0.067797,0.3,0.083333,1
5.7,0.388889,3.8,0.750000,1.7,0.118644,0.3,0.083333,1
5.1,0.222222,3.8,0.750000,1.5,0.084746,0.3,0.083333,1
5.4,0.305556,3.4,0.583333,1.7,0.118644,0.2,0.041667,1
5.1,0.222222,3.7,0.708333,1.5,0.084746,0.4,0.125000,1
4.6,0.083333,3.6,0.666667,1.0,0.010000,0.2,0.041667,1
5.1,0.222222,3.3,0.541667,1.7,0.118644,0.5,0.166667,1
4.8,0.138889,3.4,0.583333,1.9,0.152542,0.2,0.041667,1
5.0,0.194444,3.0,0.416667,1.6,0.101695,0.2,0.041667,1
5.0,0.194444,3.4,0.583333,1.6,0.101695,0.4,0.125000,1
5.2,0.250000,3.5,0.625000,1.5,0.084746,0.2,0.041667,1
5.2,0.250000,3.4,0.583333,1.4,0.067797,0.2,0.041667,1
4.7,0.111111,3.2,0.500000,1.6,0.101695,0.2,0.041667,1
6.5,0.611111,3.0,0.416667,5.8,0.813559,2.2,0.875000,3
7.6,0.916667,3.0,0.416667,6.6,0.949153,2.1,0.833333,3
4.9,0.166667,2.5,0.208333,4.5,0.593220,1.7,0.666667,3
7.3,0.833333,2.9,0.375000,6.3,0.898305,1.8,0.708333,3
6.7,0.666667,2.5,0.208333,5.8,0.813559,1.8,0.708333,3
7.2,0.805556,3.6,0.666667,6.1,0.864407,2.5,0.999900,3
6.5,0.611111,3.2,0.500000,5.1,0.694915,2.0,0.791667,3
6.4,0.583333,2.7,0.291667,5.3,0.728814,1.9,0.750000,3
6.8,0.694444,3.0,0.416667,5.5,0.762712,2.1,0.833333,3
5.7,0.388889,2.5,0.208333,5.0,0.677966,2.0,0.791667,3
5.8,0.416667,2.8,0.333333,5.1,0.694915,2.4,0.958333,3
6.4,0.583333,3.2,0.500000,5.3,0.728814,2.3,0.916667,3
6.5,0.611111,3.0,0.416667,5.5,0.762712,1.8,0.708333,3
7.7,0.944444,3.8,0.750000,6.7,0.966102,2.2,0.875000,3
7.7,0.944444,2.6,0.250000,6.9,0.999900,2.3,0.916667,3
6.0,0.472222,2.2,0.083333,5.0,0.677966,1.5,0.583333,3
6.9,0.722222,3.2,0.500000,5.7,0.796610,2.3,0.916667,3
5.6,0.361111,2.8,0.333333,4.9,0.661017,2.0,0.791667,3
7.7,0.944444,2.8,0.333333,6.7,0.966102,2.0,0.791667,3
6.3,0.555556,2.7,0.291667,4.9,0.661017,1.8,0.708333,3
6.7,0.666667,3.3,0.541667,5.7,0.796610,2.1,0.833333,3
7.2,0.805556,3.2,0.500000,6.0,0.847458,1.8,0.708333,3
6.2,0.527778,2.8,0.333333,4.8,0.644068,1.8,0.708333,3
6.1,0.500000,3.0,0.416667,4.9,0.661017,1.8,0.708333,3
6.4,0.583333,2.8,0.333333,5.6,0.779661,2.1,0.833333,3
7.2,0.805556,3.0,0.416667,5.8,0.813559,1.6,0.625000,3
7.4,0.861111,2.8,0.333333,6.1,0.864407,1.9,0.750000,3
7.9,0.999900,3.8,0.750000,6.4,0.915254,2.0,0.791667,3
6.4,0.583333,2.8,0.333333,5.6,0.779661,2.2,0.875000,3
6.3,0.555556,2.8,0.333333,5.1,0.694915,1.5,0.583333,3
